row_id,sample_id,split,homonym,judged_meaning,precontext,sentence,ending,example_sentence,choices_json,nonsensical_json,average,stdev,has_ending,story_text,meaning_text,model_input
10,1133,train,base,installation from which a military force initiates operations,"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.",,The troops strategized at their forward base.,"[2, 2, 3, 5, 2]","[false, false, false, false, false]",2.8,1.3038404810405297,False,"Precontext: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. Ambiguous sentence: The soldiers were playing a bat and ball game, which involved them running towards the base. Ending: NO_ENDING",Homonym: base. Candidate meaning: installation from which a military force initiates operations. Example sentence for this meaning: The troops strategized at their forward base.,"Precontext: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. Ambiguous sentence: The soldiers were playing a bat and ball game, which involved them running towards the base. Ending: NO_ENDING [SEP] Homonym: base. Candidate meaning: installation from which a military force initiates operations. Example sentence for this meaning: The troops strategized at their forward base."
11,1134,train,base,a place that the runner must touch before scoring,"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.",,He slid into third base safely.,"[5, 5, 4, 5, 5]","[false, false, false, false, false]",4.8,0.4472135954999579,False,"Precontext: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. Ambiguous sentence: The soldiers were playing a bat and ball game, which involved them running towards the base. Ending: NO_ENDING",Homonym: base. Candidate meaning: a place that the runner must touch before scoring. Example sentence for this meaning: He slid into third base safely.,"Precontext: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. Ambiguous sentence: The soldiers were playing a bat and ball game, which involved them running towards the base. Ending: NO_ENDING [SEP] Homonym: base. Candidate meaning: a place that the runner must touch before scoring. Example sentence for this meaning: He slid into third base safely."
12,211,train,driving,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly","Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.","Just for once, she wished that her friends would plan a get-together or adventure, and she could enjoy being present.",Her ambition drives her to succeed.,"[4, 5, 4, 3, 4]","[false, false, false, false, false]",4.0,0.7071067811865476,True,"Precontext: Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Ambiguous sentence: Poppy was always driving her friends, although they wished she wouldn't. Ending: Just for once, she wished that her friends would plan a get-together or adventure, and she could enjoy being present.","Homonym: driving. Candidate meaning: to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly. Example sentence for this meaning: Her ambition drives her to succeed.","Precontext: Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Ambiguous sentence: Poppy was always driving her friends, although they wished she wouldn't. Ending: Just for once, she wished that her friends would plan a get-together or adventure, and she could enjoy being present. [SEP] Homonym: driving. Candidate meaning: to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly. Example sentence for this meaning: Her ambition drives her to succeed."
13,212,train,driving,operate or control a vehicle,"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.","Just for once, she wished that her friends would plan a get-together or adventure, and she could enjoy being present.",I will drive to the store.,"[1, 1, 2, 1, 4]","[false, false, false, false, false]",1.8,1.3038404810405297,True,"Precontext: Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Ambiguous sentence: Poppy was always driving her friends, although they wished she wouldn't. Ending: Just for once, she wished that her friends would plan a get-together or adventure, and she could enjoy being present.",Homonym: driving. Candidate meaning: operate or control a vehicle. Example sentence for this meaning: I will drive to the store.,"Precontext: Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Ambiguous sentence: Poppy was always driving her friends, although they wished she wouldn't. Ending: Just for once, she wished that her friends would plan a get-together or adventure, and she could enjoy being present. [SEP] Homonym: driving. Candidate meaning: operate or control a vehicle. Example sentence for this meaning: I will drive to the store."
14,213,train,driving,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly","Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.",Poppy would be the one to take them from their houses to events and restaurants.,Her ambition drives her to succeed.,"[2, 2, 5, 2, 3]","[false, false, false, false, false]",2.8,1.3038404810405297,True,"Precontext: Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Ambiguous sentence: Poppy was always driving her friends, although they wished she wouldn't. Ending: Poppy would be the one to take them from their houses to events and restaurants.","Homonym: driving. Candidate meaning: to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly. Example sentence for this meaning: Her ambition drives her to succeed.","Precontext: Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Ambiguous sentence: Poppy was always driving her friends, although they wished she wouldn't. Ending: Poppy would be the one to take them from their houses to events and restaurants. [SEP] Homonym: driving. Candidate meaning: to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly. Example sentence for this meaning: Her ambition drives her to succeed."
15,214,train,driving,operate or control a vehicle,"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.",Poppy would be the one to take them from their houses to events and restaurants.,I will drive to the store.,"[4, 5, 2, 3, 5]","[false, false, false, false, false]",3.8,1.3038404810405297,True,"Precontext: Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Ambiguous sentence: Poppy was always driving her friends, although they wished she wouldn't. Ending: Poppy would be the one to take them from their houses to events and restaurants.",Homonym: driving. Candidate meaning: operate or control a vehicle. Example sentence for this meaning: I will drive to the store.,"Precontext: Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Ambiguous sentence: Poppy was always driving her friends, although they wished she wouldn't. Ending: Poppy would be the one to take them from their houses to events and restaurants. [SEP] Homonym: driving. Candidate meaning: operate or control a vehicle. Example sentence for this meaning: I will drive to the store."
16,215,train,driving,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly","Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.",,Her ambition drives her to succeed.,"[5, 4, 3, 4, 3]","[true, false, false, false, false]",3.8,0.8366600265340756,False,"Precontext: Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Ambiguous sentence: Poppy was always driving her friends, although they wished she wouldn't. Ending: NO_ENDING","Homonym: driving. Candidate meaning: to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly. Example sentence for this meaning: Her ambition drives her to succeed.","Precontext: Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Ambiguous sentence: Poppy was always driving her friends, although they wished she wouldn't. Ending: NO_ENDING [SEP] Homonym: driving. Candidate meaning: to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly. Example sentence for this meaning: Her ambition drives her to succeed."
17,216,train,driving,operate or control a vehicle,"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.",,I will drive to the store.,"[2, 5, 3, 2, 1]","[false, false, false, false, false]",2.6,1.51657508881031,False,"Precontext: Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Ambiguous sentence: Poppy was always driving her friends, although they wished she wouldn't. Ending: NO_ENDING",Homonym: driving. Candidate meaning: operate or control a vehicle. Example sentence for this meaning: I will drive to the store.,"Precontext: Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Ambiguous sentence: Poppy was always driving her friends, although they wished she wouldn't. Ending: NO_ENDING [SEP] Homonym: driving. Candidate meaning: operate or control a vehicle. Example sentence for this meaning: I will drive to the store."
18,421,train,drive,a journey in a vehicle (usually an automobile),John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,"He started the car, and the engine roared to life. He sped off down the country lanes into the sunset; he'd been waiting for this moment all day.",Let's take a drive through the countryside.,"[5, 5, 5, 5, 5]","[false, false, false, false, false]",5.0,0.0,True,"Precontext: John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. Ambiguous sentence: He was ready to drive after a long day. Ending: He started the car, and the engine roared to life. He sped off down the country lanes into the sunset; he'd been waiting for this moment all day.",Homonym: drive. Candidate meaning: a journey in a vehicle (usually an automobile). Example sentence for this meaning: Let's take a drive through the countryside.,"Precontext: John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. Ambiguous sentence: He was ready to drive after a long day. Ending: He started the car, and the engine roared to life. He sped off down the country lanes into the sunset; he'd been waiting for this moment all day. [SEP] Homonym: drive. Candidate meaning: a journey in a vehicle (usually an automobile). Example sentence for this meaning: Let's take a drive through the countryside."
19,422,train,drive,hitting a golf ball off of a tee with a driver,John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,"He started the car, and the engine roared to life. He sped off down the country lanes into the sunset; he'd been waiting for this moment all day.",He hit a long drive down the fairway.,"[2, 2, 2, 1, 1]","[false, false, false, false, false]",1.6,0.5477225575051661,True,"Precontext: John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. Ambiguous sentence: He was ready to drive after a long day. Ending: He started the car, and the engine roared to life. He sped off down the country lanes into the sunset; he'd been waiting for this moment all day.",Homonym: drive. Candidate meaning: hitting a golf ball off of a tee with a driver. Example sentence for this meaning: He hit a long drive down the fairway.,"Precontext: John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. Ambiguous sentence: He was ready to drive after a long day. Ending: He started the car, and the engine roared to life. He sped off down the country lanes into the sunset; he'd been waiting for this moment all day. [SEP] Homonym: drive. Candidate meaning: hitting a golf ball off of a tee with a driver. Example sentence for this meaning: He hit a long drive down the fairway."
20,423,train,drive,a journey in a vehicle (usually an automobile),John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,"As he settled into his car, he couldn't help but think about the satisfying feeling of sending the ball soaring down the fairway during his weekend games.",Let's take a drive through the countryside.,"[4, 5, 4, 3, 3]","[false, false, false, false, false]",3.8,0.8366600265340756,True,"Precontext: John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. Ambiguous sentence: He was ready to drive after a long day. Ending: As he settled into his car, he couldn't help but think about the satisfying feeling of sending the ball soaring down the fairway during his weekend games.",Homonym: drive. Candidate meaning: a journey in a vehicle (usually an automobile). Example sentence for this meaning: Let's take a drive through the countryside.,"Precontext: John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. Ambiguous sentence: He was ready to drive after a long day. Ending: As he settled into his car, he couldn't help but think about the satisfying feeling of sending the ball soaring down the fairway during his weekend games. [SEP] Homonym: drive. Candidate meaning: a journey in a vehicle (usually an automobile). Example sentence for this meaning: Let's take a drive through the countryside."
21,424,train,drive,hitting a golf ball off of a tee with a driver,John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,"As he settled into his car, he couldn't help but think about the satisfying feeling of sending the ball soaring down the fairway during his weekend games.",He hit a long drive down the fairway.,"[4, 1, 2, 5, 1]","[false, false, false, false, true]",2.6,1.816590212458495,True,"Precontext: John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. Ambiguous sentence: He was ready to drive after a long day. Ending: As he settled into his car, he couldn't help but think about the satisfying feeling of sending the ball soaring down the fairway during his weekend games.",Homonym: drive. Candidate meaning: hitting a golf ball off of a tee with a driver. Example sentence for this meaning: He hit a long drive down the fairway.,"Precontext: John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. Ambiguous sentence: He was ready to drive after a long day. Ending: As he settled into his car, he couldn't help but think about the satisfying feeling of sending the ball soaring down the fairway during his weekend games. [SEP] Homonym: drive. Candidate meaning: hitting a golf ball off of a tee with a driver. Example sentence for this meaning: He hit a long drive down the fairway."
22,425,train,drive,a journey in a vehicle (usually an automobile),John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,,Let's take a drive through the countryside.,"[5, 5, 5, 5, 5]","[false, false, false, false, false]",5.0,0.0,False,Precontext: John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. Ambiguous sentence: He was ready to drive after a long day. Ending: NO_ENDING,Homonym: drive. Candidate meaning: a journey in a vehicle (usually an automobile). Example sentence for this meaning: Let's take a drive through the countryside.,Precontext: John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. Ambiguous sentence: He was ready to drive after a long day. Ending: NO_ENDING [SEP] Homonym: drive. Candidate meaning: a journey in a vehicle (usually an automobile). Example sentence for this meaning: Let's take a drive through the countryside.
23,426,train,drive,hitting a golf ball off of a tee with a driver,John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,,He hit a long drive down the fairway.,"[1, 2, 2, 1, 2]","[false, false, false, false, false]",1.6,0.5477225575051661,False,Precontext: John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. Ambiguous sentence: He was ready to drive after a long day. Ending: NO_ENDING,Homonym: drive. Candidate meaning: hitting a golf ball off of a tee with a driver. Example sentence for this meaning: He hit a long drive down the fairway.,Precontext: John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. Ambiguous sentence: He was ready to drive after a long day. Ending: NO_ENDING [SEP] Homonym: drive. Candidate meaning: hitting a golf ball off of a tee with a driver. Example sentence for this meaning: He hit a long drive down the fairway.
24,475,train,drive,a journey in a vehicle (usually an automobile),"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead.",That was a good drive.,He put on his driving gloves and was ready.,Let's take a drive through the countryside.,"[5, 5, 2, 5, 5]","[false, false, true, false, true]",4.4,1.3416407864998738,True,"Precontext: Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead. Ambiguous sentence: That was a good drive. Ending: He put on his driving gloves and was ready.",Homonym: drive. Candidate meaning: a journey in a vehicle (usually an automobile). Example sentence for this meaning: Let's take a drive through the countryside.,"Precontext: Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead. Ambiguous sentence: That was a good drive. Ending: He put on his driving gloves and was ready. [SEP] Homonym: drive. Candidate meaning: a journey in a vehicle (usually an automobile). Example sentence for this meaning: Let's take a drive through the countryside."
25,476,train,drive,hitting a golf ball off of a tee with a driver,"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead.",That was a good drive.,He put on his driving gloves and was ready.,He hit a long drive down the fairway.,"[2, 1, 2, 1, 3]","[false, false, false, false, false]",1.8,0.8366600265340756,True,"Precontext: Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead. Ambiguous sentence: That was a good drive. Ending: He put on his driving gloves and was ready.",Homonym: drive. Candidate meaning: hitting a golf ball off of a tee with a driver. Example sentence for this meaning: He hit a long drive down the fairway.,"Precontext: Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead. Ambiguous sentence: That was a good drive. Ending: He put on his driving gloves and was ready. [SEP] Homonym: drive. Candidate meaning: hitting a golf ball off of a tee with a driver. Example sentence for this meaning: He hit a long drive down the fairway."
